step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
311,264414,622,0.029930277985886277,1.0,1.0,,,,,
312,264704,624,0.02425660776799608,1.0,1.0,,,,,
313,265522,626,0.0245477073423144,1.0,1.0,0.018831817804343745,1.0,1.0,,
314,265668,628,0.026199036555881326,1.0,1.0,,,,,
315,266710,630,0.0204708252415319,0.5,0.75,,,,,
316,266872,632,0.02538472527504746,1.0,1.0,,,,,
317,267418,634,0.027503222040717017,1.0,1.0,,,,,
318,268428,636,0.01938356897769284,1.0,1.0,,,,,
319,269790,638,0.032502868695223106,0.0,0.5,,,,,
320,270080,640,0.024134320336464343,1.0,1.0,,,,,
321,270546,642,0.021438463073618238,1.0,1.0,0.0283393797741296,1.0,1.0,,
322,271092,644,0.02475995230228792,1.0,1.0,,,,,
323,272230,646,0.009232233414737159,1.0,1.0,,,,,
324,274264,648,0.015402808819318613,1.0,1.0,,,,,
325,274826,650,0.01736954281766313,1.0,1.0,,,,,
326,276732,652,0.019665382341968133,0.5,0.75,,,,,
327,277454,654,0.01095754385538425,1.0,1.0,,,,,
328,277712,656,0.021488189947272078,1.0,1.0,,,,,
329,278018,658,0.035182912049770636,0.5,0.75,0.013130535544630752,1.0,1.0,,
330,278596,660,0.020968858463152676,0.0,0.5,,,,,
331,279302,662,0.02276122040965757,1.0,1.0,,,,,
332,279912,664,0.01843374930328417,1.0,1.0,,,,,
333,280218,666,0.021051534938958293,1.0,1.0,,,,,
334,280620,668,0.025687593488467976,1.0,1.0,,,,,
335,280846,670,0.03247540050736201,0.5,0.75,,,,,
336,281824,672,0.021730234995187052,0.5,0.75,,,,,
337,283218,674,0.018423458546462042,1.0,1.0,0.01667905467087649,1.0,1.0,,
338,283940,676,0.017122018020899958,1.0,1.0,,,,,
339,284342,678,0.0275761701663032,1.0,1.0,,,,,
340,284648,680,0.027138774625566506,1.0,1.0,,,,,
341,285002,682,0.03370409322460163,0.5,0.75,,,,,
342,286268,684,0.01870582823494951,1.0,1.0,,,,,
343,286590,686,0.024366186197061327,1.0,1.0,,,,,
344,288496,688,0.01691363611783505,1.0,1.0,,,,,
345,289218,690,0.023760214982884154,1.0,1.0,0.02321478479127669,1.0,1.0,,
346,289556,692,0.024176807765165682,1.0,1.0,,,,,
347,290262,694,0.018020840405815763,1.0,1.0,,,,,
348,291288,696,0.020879427203904302,1.0,1.0,,,,,
349,291658,698,0.027090284566202966,1.0,1.0,,,,,
350,293244,700,0.018129513059755093,1.0,1.0,,,,,
351,297214,702,0.004473883692132419,1.0,1.0,,,,,
352,298736,704,0.026324332469468286,1.0,1.0,,,,,
353,299138,706,0.022019712480105227,1.0,1.0,0.018466611698048068,0.5,0.75,,
354,299620,708,0.022052274161384656,1.0,1.0,,,,,
355,301542,710,0.010923358187667797,1.0,1.0,,,,,
356,301784,712,0.023052367316076326,1.0,1.0,,,,,
357,302298,714,0.0204542346387575,1.0,1.0,,,,,
358,303884,716,0.01624643402440606,0.5,0.5,,,,,
359,304334,718,0.025560443204201096,1.0,1.0,,,,,
360,304976,720,0.02204062603750481,1.0,1.0,,,,,
361,305458,722,0.019496694664985017,1.0,1.0,0.023153168743468996,0.5,0.75,,
362,305988,724,0.023001312036511245,1.0,1.0,,,,,
363,306694,726,0.018614491679574754,1.0,1.0,,,,,
